Region,I: Electron Density SCF,,,,I: Volume,,,
Atomic basin decomposition,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆
C3: Max (node 6122) → C2: Max (node 6114) in NEF (0.99999548),1.65726770,1.77133540,0.11406770,6.88287716,25.13137200,27.16088700,2.02951500,8.07562357,
C3: Max (node 6148) → C2: Max (node 6134) in NEF (0.99999304),2.76611390,2.54590440,-0.22020950,-7.96097008,41.65884000,36.89415600,-4.76468400,-11.43739000,
C4: Max (node 6104) → C1: Max (node 6146) in NEF (0.99999703),2.33827080,2.50055630,0.16228550,6.94040656,35.40367500,38.93284200,3.52916700,9.96836345,
C4: Max (node 6130) → C1: Max (node 6170) in NEF (0.99999884),1.87933320,1.72184750,-0.15748570,-8.37987112,30.49662500,28.51602900,-1.98059600,-6.49447603,
C4: Max (node 6156) → C1: Max (node 6194) in NEF (0.99999986),1.79169420,1.81552320,0.02382900,1.32997026,29.57185400,30.29883300,0.72697900,2.45834772,
H1: Max (node 5468) → H5: Max (node 5486) in NEF (1.00000000),0.93272440,0.93725702,0.00453262,0.48595491,47.65279300,48.00074700,0.34795400,0.73018595,
H2: Max (node 5456) → H6: Max (node 5470) in NEF (0.99999896),0.88653743,0.94851679,0.06197936,6.99117239,43.82786300,47.82446300,3.99660000,9.11885665,
H3: Max (node 5464) → H4: Max (node 5462) in NEF (0.99999923),1.01126230,0.94551411,-0.06574819,-6.50159607,52.69499600,47.80125100,-4.89374500,-9.28692546,
H4: Max (node 5464) → H4: Max (node 5462) in NEF (0.99999923),1.01126230,0.94551411,-0.06574819,-6.50159607,52.69499600,47.80125100,-4.89374500,-9.28692546,
H5: Max (node 5468) → H5: Max (node 5486) in NEF (1.00000000),0.93272440,0.93725702,0.00453262,0.48595491,47.65279300,48.00074700,0.34795400,0.73018595,
H6: Max (node 5456) → H6: Max (node 5470) in NEF (0.99999896),0.88653743,0.94851679,0.06197936,6.99117239,43.82786300,47.82446300,3.99660000,9.11885665,
Total,29.76556906,29.76634424,0.00077518,0.00260428,650.85455200,650.31835400,-0.53619800,-0.08238369,
Min basin decomposition according to INS: Volume
C1: Min (node 2277) → C1: Min (node 2132) in NEF (0.99982335),1.03108230,1.66332000,0.63223770,61.31786958,17.86841300,24.50850100,6.64008800,37.16103943,
C1: Min (node 3368) → C1: Min (node 2132) in NEF (0.99999926),1.73223060,1.66332000,-0.06891060,-3.97814240,25.01968500,24.50850100,-0.51118400,-2.04312724,
C1: Min (node 4264) → C1: Min (node 3387) in NEF (0.99999707),1.65274170,1.90979640,0.25705470,15.55322892,25.18999400,28.90531600,3.71532200,14.74919764,
C1: Min (node 4960) → C1: Min (node 2132) in NEF (0.99973006),0.53498408,1.66332000,1.12833592,210.91018634,9.05920870,24.50850100,15.44929230,170.53688475,
C1: Min (node 961) → C1: Min (node 766) in NEF (0.99998390),1.05825950,2.46481060,1.40655110,132.91173857,18.33485300,44.33388800,25.99903500,141.80116415,
C2: Min (node 2909) → C2: Min (node 17) in NEF (0.99999898),2.03596360,1.93123240,-0.10473120,-5.14406053,26.19740700,24.37716700,-1.82024000,-6.94816857,
C2: Min (node 3680) → C2: Min (node 1535) in NEF (0.99999736),2.28840230,2.42557070,0.13716840,5.99406844,34.19798700,35.40072400,1.20273700,3.51698186,
C2: Min (node 4632) → C2: Min (node 4664) in NEF (0.99999939),1.71859630,1.65715420,-0.06144210,-3.57513280,25.38407600,24.00712000,-1.37695600,-5.42448738,
C3: Min (node 2909) → C2: Min (node 17) in NEF (0.99999898),2.03596360,1.93123240,-0.10473120,-5.14406053,26.19740700,24.37716700,-1.82024000,-6.94816857,
C3: Min (node 3680) → C2: Min (node 1535) in NEF (0.99999736),2.28840230,2.42557070,0.13716840,5.99406844,34.19798700,35.40072400,1.20273700,3.51698186,
C3: Min (node 4632) → C2: Min (node 4664) in NEF (0.99999939),1.71859630,1.65715420,-0.06144210,-3.57513280,25.38407600,24.00712000,-1.37695600,-5.42448738,
C4: Min (node 2277) → C1: Min (node 2132) in NEF (0.99982335),1.03108230,1.66332000,0.63223770,61.31786958,17.86841300,24.50850100,6.64008800,37.16103943,
C4: Min (node 3368) → C1: Min (node 2132) in NEF (0.99999926),1.73223060,1.66332000,-0.06891060,-3.97814240,25.01968500,24.50850100,-0.51118400,-2.04312724,
C4: Min (node 4264) → C1: Min (node 3387) in NEF (0.99999707),1.65274170,1.90979640,0.25705470,15.55322892,25.18999400,28.90531600,3.71532200,14.74919764,
C4: Min (node 4960) → C1: Min (node 2132) in NEF (0.99973006),0.53498408,1.66332000,1.12833592,210.91018634,9.05920870,24.50850100,15.44929230,170.53688475,
C4: Min (node 961) → C1: Min (node 766) in NEF (0.99998390),1.05825950,2.46481060,1.40655110,132.91173857,18.33485300,44.33388800,25.99903500,141.80116415,
H1: Min (node 4649) → H5: Min (node 4667) in NEF (1.00000000),0.93272440,0.93725702,0.00453262,0.48595491,47.65279300,48.00074700,0.34795400,0.73018595,
H2: Min (node 2915) → H6: Min (node 1025) in NEF (0.99999898),0.71533145,0.75509663,0.03976518,5.55898668,37.29492500,40.14087000,2.84594500,7.63091761,
H2: Min (node 3778) → H6: Min (node 1504) in NEF (0.99999916),0.17120598,0.19342016,0.02221418,12.97511921,6.53293840,7.68359360,1.15065520,17.61313408,
H3: Min (node 4626) → H4: Min (node 1877) in NEF (0.99999923),1.01126230,0.94551411,-0.06574819,-6.50159607,52.69499600,47.80125100,-4.89374500,-9.28692546,
H4: Min (node 4626) → H4: Min (node 1877) in NEF (0.99999923),1.01126230,0.94551411,-0.06574819,-6.50159607,52.69499600,47.80125100,-4.89374500,-9.28692546,
H5: Min (node 4649) → H5: Min (node 4667) in NEF (1.00000000),0.93272440,0.93725702,0.00453262,0.48595491,47.65279300,48.00074700,0.34795400,0.73018595,
H6: Min (node 2915) → H6: Min (node 1025) in NEF (0.99999898),0.71533145,0.75509663,0.03976518,5.55898668,37.29492500,40.14087000,2.84594500,7.63091761,
H6: Min (node 3778) → H6: Min (node 1504) in NEF (0.99999916),0.17120598,0.19342016,0.02221418,12.97511921,6.53293840,7.68359360,1.15065520,17.61313408,
Total,29.76556902,36.41962444,6.65405542,22.35487390,650.85455220,748.35235920,97.49780700,14.97996852,
Max basin decomposition according to INS: Electron Density SCF
C1: Max (node 6112) → C1: Max (node 6148) in NEF (0.99999651),2.27859120,2.40319870,0.12460750,5.46862026,34.22047400,37.14733000,2.92685600,8.55293822,
C1: Max (node 6130) → C1: Max (node 6168) in NEF (0.99999985),1.90989960,1.81715310,-0.09274650,-4.85609296,31.08492600,29.83720900,-1.24771700,-4.01389728,
C1: Max (node 6148) → C1: Max (node 6190) in NEF (0.99999888),1.82080740,1.81757520,-0.00323220,-0.17751466,30.16675500,30.76316500,0.59641000,1.97704393,
C2: Max (node 6100) → C2: Max (node 6158) in NEF (0.99999970),1.83638250,1.83640700,0.00002450,0.00133414,21.80570200,21.66698100,-0.13872100,-0.63616847,
C2: Max (node 6120) → C2: Max (node 6118) in NEF (0.99999922),1.69915690,1.81723800,0.11808110,6.94939355,26.17018400,27.90821700,1.73803300,6.64127161,
C2: Max (node 6148) → C2: Max (node 6134) in NEF (0.99999231),2.50742280,2.36031220,-0.14711060,-5.86700416,37.80358500,34.20981300,-3.59377200,-9.50643173,
C3: Max (node 6100) → C2: Max (node 6158) in NEF (0.99999970),1.83638250,1.83640700,0.00002450,0.00133414,21.80570200,21.66698100,-0.13872100,-0.63616847,
C3: Max (node 6120) → C2: Max (node 6118) in NEF (0.99999922),1.69915690,1.81723800,0.11808110,6.94939355,26.17018400,27.90821700,1.73803300,6.64127161,
C3: Max (node 6148) → C2: Max (node 6134) in NEF (0.99999231),2.50742280,2.36031220,-0.14711060,-5.86700416,37.80358500,34.20981300,-3.59377200,-9.50643173,
C4: Max (node 6112) → C1: Max (node 6148) in NEF (0.99999651),2.27859120,2.40319870,0.12460750,5.46862026,34.22047400,37.14733000,2.92685600,8.55293822,
C4: Max (node 6130) → C1: Max (node 6168) in NEF (0.99999985),1.90989960,1.81715310,-0.09274650,-4.85609296,31.08492600,29.83720900,-1.24771700,-4.01389728,
C4: Max (node 6148) → C1: Max (node 6190) in NEF (0.99999888),1.82080740,1.81757520,-0.00323220,-0.17751466,30.16675500,30.76316500,0.59641000,1.97704393,
H1: Max (node 5468) → H5: Max (node 5486) in NEF (1.00000000),0.93272440,0.93725702,0.00453262,0.48595491,47.65279300,48.00074700,0.34795400,0.73018595,
H2: Max (node 5456) → H6: Max (node 5470) in NEF (0.99999896),0.88653743,0.94851679,0.06197936,6.99117239,43.82786300,47.82446300,3.99660000,9.11885665,
H3: Max (node 5464) → H4: Max (node 5462) in NEF (0.99999923),1.01126230,0.94551411,-0.06574819,-6.50159607,52.69499600,47.80125100,-4.89374500,-9.28692546,
H4: Max (node 5464) → H4: Max (node 5462) in NEF (0.99999923),1.01126230,0.94551411,-0.06574819,-6.50159607,52.69499600,47.80125100,-4.89374500,-9.28692546,
H5: Max (node 5468) → H5: Max (node 5486) in NEF (1.00000000),0.93272440,0.93725702,0.00453262,0.48595491,47.65279300,48.00074700,0.34795400,0.73018595,
