Region,I: Electron Density SCF,,,,I: Volume,,,
Atomic basin decomposition,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆
H3: Max (node 5458) → H4: Max (node 5462) in NEF (1.00000000),0.94446783,0.94551411,0.00104628,0.11077985,47.79003200,47.80125100,0.01121900,0.02347561,
H4: Max (node 5458) → H4: Max (node 5462) in NEF (1.00000000),0.94446783,0.94551411,0.00104628,0.11077985,47.79003200,47.80125100,0.01121900,0.02347561,
H5: Max (node 5446) → H5: Max (node 5486) in NEF (1.00000000),0.93638438,0.93725702,0.00087264,0.09319250,47.99532900,48.00074700,0.00541800,0.01128860,
H6: Max (node 5450) → H6: Max (node 5470) in NEF (1.00000000),0.94771464,0.94851679,0.00080215,0.08464046,47.82452400,47.82446300,-0.00006100,-0.00012755,
Total,29.76472370,29.76634424,0.00162054,0.00544450,651.43534000,650.31835400,-1.11698600,-0.17146537,
Min basin decomposition according to INS: Volume
C1: Min (node 3368) → C1: Min (node 2132) in NEF (0.99999964),1.80256170,1.66332000,-0.13924170,-7.72465653,26.51948100,24.50850100,-2.01098000,-7.58302925,
C1: Min (node 4264) → C1: Min (node 3387) in NEF (0.99999736),1.77852250,1.90979640,0.13127390,7.38106490,27.48226600,28.90531600,1.42305000,5.17806647,
C1: Min (node 4960) → C1: Min (node 766) in NEF (0.99999969),2.45721680,2.46481060,0.00759380,0.30904070,43.99683200,44.33388800,0.33705600,0.76609152,
C2: Min (node 3017) → C2: Min (node 17) in NEF (0.99999431),1.86407560,1.93123240,0.06715680,3.60268650,23.08651200,24.37716700,1.29065500,5.59051536,
C2: Min (node 3680) → C2: Min (node 1535) in NEF (0.99999970),2.44669740,2.42557070,-0.02112670,-0.86347825,35.98565100,35.40072400,-0.58492700,-1.62544510,
C2: Min (node 4664) → C2: Min (node 4664) in NEF (0.99999826),1.70472100,1.65715420,-0.04756680,-2.79029824,25.03704300,24.00712000,-1.02992300,-4.11359680,
C3: Min (node 3017) → C2: Min (node 17) in NEF (0.99999431),1.86407560,1.93123240,0.06715680,3.60268650,23.08651200,24.37716700,1.29065500,5.59051536,
C3: Min (node 3680) → C2: Min (node 1535) in NEF (0.99999970),2.44669740,2.42557070,-0.02112670,-0.86347825,35.98565100,35.40072400,-0.58492700,-1.62544510,
C3: Min (node 4664) → C2: Min (node 4664) in NEF (0.99999826),1.70472100,1.65715420,-0.04756680,-2.79029824,25.03704300,24.00712000,-1.02992300,-4.11359680,
C4: Min (node 3368) → C1: Min (node 2132) in NEF (0.99999964),1.80256170,1.66332000,-0.13924170,-7.72465653,26.51948100,24.50850100,-2.01098000,-7.58302925,
C4: Min (node 4264) → C1: Min (node 3387) in NEF (0.99999736),1.77852250,1.90979640,0.13127390,7.38106490,27.48226600,28.90531600,1.42305000,5.17806647,
C4: Min (node 4960) → C1: Min (node 766) in NEF (0.99999969),2.45721680,2.46481060,0.00759380,0.30904070,43.99683200,44.33388800,0.33705600,0.76609152,
H1: Min (node 4853) → H5: Min (node 4667) in NEF (1.00000000),0.93638438,0.93725702,0.00087264,0.09319250,47.99532900,48.00074700,0.00541800,0.01128860,
H2: Min (node 2660) → H6: Min (node 1025) in NEF (0.99999996),0.72878901,0.75509663,0.02630762,3.60977178,39.09327500,40.14087000,1.04759500,2.67973200,
H2: Min (node 3672) → H6: Min (node 1504) in NEF (0.99999995),0.21892563,0.19342016,-0.02550547,-11.65028964,8.73124840,7.68359360,-1.04765480,-11.99891186,
H3: Min (node 4351) → H4: Min (node 1877) in NEF (1.00000000),0.94446783,0.94551411,0.00104628,0.11077985,47.79003200,47.80125100,0.01121900,0.02347561,
H4: Min (node 4351) → H4: Min (node 1877) in NEF (1.00000000),0.94446783,0.94551411,0.00104628,0.11077985,47.79003200,47.80125100,0.01121900,0.02347561,
H5: Min (node 4853) → H5: Min (node 4667) in NEF (1.00000000),0.93638438,0.93725702,0.00087264,0.09319250,47.99532900,48.00074700,0.00541800,0.01128860,
H6: Min (node 2660) → H6: Min (node 1025) in NEF (0.99999996),0.72878901,0.75509663,0.02630762,3.60977178,39.09327500,40.14087000,1.04759500,2.67973200,
H6: Min (node 3672) → H6: Min (node 1504) in NEF (0.99999995),0.21892563,0.19342016,-0.02550547,-11.65028964,8.73124840,7.68359360,-1.04765480,-11.99891186,
Total,29.76472370,29.76634444,0.00162074,0.00544517,651.43533880,650.31835520,-1.11698360,-0.17146500,
Max basin decomposition according to INS: Electron Density SCF
C1: Max (node 6096) → C1: Max (node 6148) in NEF (0.99999992),2.39865550,2.40319870,0.00454320,0.18940611,37.23150900,37.14733000,-0.08417900,-0.22609613,
C1: Max (node 6126) → C1: Max (node 6168) in NEF (0.99999999),1.80649430,1.81715310,0.01065880,0.59002677,29.66752500,29.83720900,0.16968400,0.57195199,
C1: Max (node 6148) → C1: Max (node 6190) in NEF (0.99999999),1.83315120,1.81757520,-0.01557600,-0.84968441,31.09954500,30.76316500,-0.33638000,-1.08162354,
C2: Max (node 6110) → C2: Max (node 6158) in NEF (0.99999998),1.82744340,1.83640700,0.00896360,0.49049946,21.56572700,21.66698100,0.10125400,0.46951350,
