Region,I: Electron Density SCF,,,,I: Volume,,,
Atomic basin decomposition,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆
Max basin decomposition according to INS: Volume
C1: Max (node 6104) → C1: Max (node 6146) in NEF (0.99998518),2.27563860,2.50055630,0.22491770,9.88371792,33.40036000,38.93284200,5.53248200,16.56413883,
C1: Max (node 6122) → C1: Max (node 6170) in NEF (0.99999209),1.77305020,1.72184750,-0.05120270,-2.88783138,28.02457700,28.51602900,0.49145200,1.75364645,
C1: Max (node 6148) → C1: Max (node 6194) in NEF (0.99999822),1.93649450,1.81552320,-0.12097130,-6.24692195,32.11086800,30.29883300,-1.81203500,-5.64305829,
C2: Max (node 6098) → C2: Max (node 6158) in NEF (0.99999681),1.50137840,1.69671740,0.19533900,13.01064409,17.29470100,19.72996900,2.43526800,14.08100666,
C2: Max (node 6122) → C2: Max (node 6114) in NEF (0.99999984),1.81340700,1.77133540,-0.04207160,-2.32003075,28.01058500,27.16088700,-0.84969800,-3.03348895,
C2: Max (node 6148) → C2: Max (node 6134) in NEF (0.99999939),2.70930550,2.54590440,-0.16340110,-6.03110650,39.89835900,36.89415600,-3.00420300,-7.52964050,
C3: Max (node 6112) → C2: Max (node 6134) in NEF (0.99999807),2.37490470,2.54590440,0.17099970,7.20027629,33.65878000,36.89415600,3.23537600,9.61227947,
C3: Max (node 6134) → C2: Max (node 6114) in NEF (0.99999683),1.75516560,1.77133540,0.01616980,0.92126920,26.26344800,27.16088700,0.89743900,3.41706466,
C3: Max (node 6160) → C2: Max (node 6158) in NEF (0.99997966),1.87196950,1.69671740,-0.17525210,-9.36191001,22.47200100,19.72996900,-2.74203200,-12.20199305,
C4: Max (node 6118) → C1: Max (node 6194) in NEF (0.99999809),1.53099420,1.81552320,0.28452900,18.58459033,26.27529600,30.29883300,4.02353700,15.31300351,
C4: Max (node 6146) → C1: Max (node 6170) in NEF (0.99999878),1.68224900,1.72184750,0.03959850,2.35390242,28.60548300,28.51602900,-0.08945400,-0.31271627,
C4: Max (node 6166) → C1: Max (node 6146) in NEF (0.99998731),2.88000730,2.50055630,-0.37945100,-13.17534855,47.72303300,38.93284200,-8.79019100,-18.41917927,
H1: Max (node 5460) → H5: Max (node 5486) in NEF (0.99999884),1.01905320,0.93725702,-0.08179618,-8.02668398,54.16901600,48.00074700,-6.16826900,-11.38707965,
H2: Max (node 5456) → H6: Max (node 5470) in NEF (0.99999999),0.94875738,0.94851679,-0.00024059,-0.02535843,48.16931300,47.82446300,-0.34485000,-0.71591222,
H3: Max (node 5452) → H4: Max (node 5462) in NEF (0.99999988),0.96974158,0.94551411,-0.02422747,-2.49834291,49.52828900,47.80125100,-1.72703800,-3.48697287,
H4: Max (node 5466) → H4: Max (node 5462) in NEF (0.99999982),0.91873400,0.94551411,0.02678011,2.91489267,46.05293500,47.80125100,1.74831600,3.79631830,
H5: Max (node 5464) → H5: Max (node 5486) in NEF (0.99999818),0.85828249,0.93725702,0.07897453,9.20146116,42.79385500,48.00074700,5.20689200,12.16738244,
H6: Max (node 5460) → H6: Max (node 5470) in NEF (1.00000000),0.94468449,0.94851679,0.00383230,0.40566983,47.39990400,47.82446300,0.42455900,0.89569591,
Total,29.76381764,29.76634424,0.00252660,0.00848883,651.85080300,650.31835400,-1.53244900,-0.23509199,
Min basin decomposition according to INS: Volume
C1: Min (node 2159) → C1: Min (node 766) in NEF (0.99998570),1.40071720,2.46481060,1.06409340,75.96775423,23.71867500,44.33388800,20.61521300,86.91553386,
C1: Min (node 3371) → C1: Min (node 2132) in NEF (0.99999789),1.60328520,1.66332000,0.06003480,3.74448663,22.85279700,24.50850100,1.65570400,7.24508252,
C1: Min (node 4264) → C1: Min (node 3387) in NEF (0.99999927),1.58825500,1.90979640,0.32154140,20.24494807,23.42955800,28.90531600,5.47575800,23.37115365,
C1: Min (node 794) → C1: Min (node 2132) in NEF (0.99984273),1.39292580,1.66332000,0.27039420,19.41196006,23.53477600,24.50850100,0.97372500,4.13738801,
C2: Min (node 2898) → C2: Min (node 17) in NEF (0.99999730),1.90877820,1.93123240,0.02245420,1.17636507,24.02048600,24.37716700,0.35668100,1.48490334,
C2: Min (node 3683) → C2: Min (node 1535) in NEF (0.99999845),2.26692850,2.42557070,0.15864220,6.99811220,33.68902300,35.40072400,1.71170100,5.08088644,
C2: Min (node 4632) → C2: Min (node 4664) in NEF (0.99999642),1.84838410,1.65715420,-0.19122990,-10.34578798,27.49413600,24.00712000,-3.48701600,-12.68276261,
C3: Min (node 2713) → C2: Min (node 17) in NEF (0.99999046),1.85008330,1.93123240,0.08114910,4.38624034,22.55353500,24.37716700,1.82363200,8.08579232,
C3: Min (node 3352) → C2: Min (node 4664) in NEF (0.99999947),1.55109070,1.65715420,0.10606350,6.83799471,22.24047100,24.00712000,1.76664900,7.94339742,
C3: Min (node 4128) → C2: Min (node 1535) in NEF (0.99999950),2.60086580,2.42557070,-0.17529510,-6.73987485,37.60022300,35.40072400,-2.19949900,-5.84969669,
C4: Min (node 3171) → C1: Min (node 766) in NEF (0.99999378),2.19550080,2.46481060,0.26930980,12.26644053,41.48842800,44.33388800,2.84546000,6.85844255,
C4: Min (node 3928) → C1: Min (node 2132) in NEF (0.99995635),1.90574430,1.66332000,-0.24242430,-12.72071495,30.61542700,24.50850100,-6.10692600,-19.94721811,
C4: Min (node 4651) → C1: Min (node 3387) in NEF (0.99999648),1.99200550,1.90979640,-0.08220910,-4.12695146,30.49995800,28.90531600,-1.59464200,-5.22834163,
H1: Min (node 3346) → H5: Min (node 4667) in NEF (0.99999884),1.01905320,0.93725702,-0.08179618,-8.02668398,54.16901600,48.00074700,-6.16826900,-11.38707965,
H2: Min (node 2728) → H6: Min (node 1025) in NEF (0.99999982),0.71225514,0.75509663,0.04284149,6.01490780,38.74465100,40.14087000,1.39621900,3.60364325,
H2: Min (node 4440) → H6: Min (node 1504) in NEF (1.00000000),0.23650224,0.19342016,-0.04308208,-18.21635178,9.42466140,7.68359360,-1.74106780,-18.47353158,
H3: Min (node 3936) → H4: Min (node 1877) in NEF (0.99999988),0.96974158,0.94551411,-0.02422747,-2.49834291,49.52828900,47.80125100,-1.72703800,-3.48697287,
H4: Min (node 4456) → H4: Min (node 1877) in NEF (0.99999982),0.91873400,0.94551411,0.02678011,2.91489267,46.05293500,47.80125100,1.74831600,3.79631830,
H5: Min (node 4632) → H5: Min (node 4667) in NEF (0.99999818),0.85828249,0.93725702,0.07897453,9.20146116,42.79385500,48.00074700,5.20689200,12.16738244,
H6: Min (node 2720) → H6: Min (node 1025) in NEF (0.99999993),0.72321143,0.75509663,0.03188520,4.40883519,38.72032000,40.14087000,1.42055000,3.66874551,
H6: Min (node 3672) → H6: Min (node 1504) in NEF (0.99999978),0.22147306,0.19342016,-0.02805290,-12.66650671,8.67958390,7.68359360,-0.99599030,-11.47509272,
Total,29.76381754,31.42966444,1.66584690,5.59688588,651.85080430,674.82685620,22.97605190,3.52474090,
Max basin decomposition according to INS: Electron Density SCF
C1: Max (node 6104) → C1: Max (node 6148) in NEF (0.99998388),2.23589920,2.40319870,0.16729950,7.48242586,32.56117600,37.14733000,4.58615400,14.08473085,
C1: Max (node 6126) → C1: Max (node 6168) in NEF (0.99999648),1.80627810,1.81715310,0.01087500,0.60206676,28.57668700,29.83720900,1.26052200,4.41101517,
