Region,I: Electron Density SCF,,,,I: Volume,,,
Atomic basin decomposition,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆
H1: Max (node 5468) → H5: Max (node 5486) in NEF (1.00000000),0.93910533,0.93725702,-0.00184831,-0.19681605,48.24948800,48.00074700,-0.24874100,-0.51553086,
H2: Max (node 5456) → H6: Max (node 5470) in NEF (0.99999929),1.01115370,0.94851679,-0.06263691,-6.19459831,52.36774000,47.82446300,-4.54327700,-8.67571715,
H3: Max (node 5452) → H4: Max (node 5462) in NEF (0.99999884),0.88048678,0.94551411,0.06502733,7.38538403,43.52506700,47.80125100,4.27618400,9.82464657,
H4: Max (node 5452) → H4: Max (node 5462) in NEF (0.99999884),0.88048678,0.94551411,0.06502733,7.38538403,43.52506700,47.80125100,4.27618400,9.82464657,
H5: Max (node 5468) → H5: Max (node 5486) in NEF (1.00000000),0.93910533,0.93725702,-0.00184831,-0.19681605,48.24948800,48.00074700,-0.24874100,-0.51553086,
H6: Max (node 5456) → H6: Max (node 5470) in NEF (0.99999929),1.01115370,0.94851679,-0.06263691,-6.19459831,52.36774000,47.82446300,-4.54327700,-8.67571715,
Total,29.76387342,29.76634424,0.00247082,0.00830141,652.28106000,650.31835200,-1.96270800,-0.30089912,
Min basin decomposition according to INS: Electron Density SCF
C1: Min (node 2157) → C1: Min (node 4340) in NEF (0.99999923),1.55388810,1.83166410,0.27777600,17.87619070,30.01327600,34.47488800,4.46161200,14.86546154,
C1: Min (node 3373) → C1: Min (node 2133) in NEF (0.99999322),1.47651150,1.28221570,-0.19429580,-13.15911187,19.68502500,16.67273100,-3.01229400,-15.30246469,
C1: Min (node 4251) → C1: Min (node 3390) in NEF (0.99952537),1.52576590,1.13377870,-0.39198720,-25.69117582,21.38821800,13.01611700,-8.37210100,-39.14351817,
C1: Min (node 793) → C1: Min (node 2804) in NEF (0.99999962),1.50868270,1.79026840,0.28158570,18.66434208,28.84119800,33.58396800,4.74277000,16.44442786,
C2: Min (node 1587) → C2: Min (node 4072) in NEF (0.99999108),1.94807550,1.69865310,-0.24942240,-12.80352841,29.51247300,26.92834600,-2.58412700,-8.75605037,
C2: Min (node 2909) → C2: Min (node 19) in NEF (0.99978190),1.12901380,1.44728530,0.31827150,28.19022230,11.16837800,16.00916400,4.84078600,43.34367981,
C2: Min (node 4635) → C2: Min (node 4665) in NEF (0.99998909),1.05344210,1.12626530,0.07282320,6.91288112,12.59243500,13.38341800,0.79098300,6.28141420,
C2: Min (node 55) → C2: Min (node 3048) in NEF (0.99999894),1.85581130,1.74175370,-0.11405760,-6.14596969,28.79723100,27.46408200,-1.33314900,-4.62943468,
C3: Min (node 1587) → C2: Min (node 4072) in NEF (0.99999108),1.94807550,1.69865310,-0.24942240,-12.80352841,29.51247300,26.92834600,-2.58412700,-8.75605037,
C3: Min (node 2909) → C2: Min (node 19) in NEF (0.99978190),1.12901380,1.44728530,0.31827150,28.19022230,11.16837800,16.00916400,4.84078600,43.34367981,
C3: Min (node 4635) → C2: Min (node 4665) in NEF (0.99998909),1.05344210,1.12626530,0.07282320,6.91288112,12.59243500,13.38341800,0.79098300,6.28141420,
C3: Min (node 55) → C2: Min (node 3048) in NEF (0.99999894),1.85581130,1.74175370,-0.11405760,-6.14596969,28.79723100,27.46408200,-1.33314900,-4.62943468,
C4: Min (node 2157) → C1: Min (node 4340) in NEF (0.99999923),1.55388810,1.83166410,0.27777600,17.87619070,30.01327600,34.47488800,4.46161200,14.86546154,
C4: Min (node 3373) → C1: Min (node 2133) in NEF (0.99999322),1.47651150,1.28221570,-0.19429580,-13.15911187,19.68502500,16.67273100,-3.01229400,-15.30246469,
C4: Min (node 4251) → C1: Min (node 3390) in NEF (0.99952537),1.52576590,1.13377870,-0.39198720,-25.69117582,21.38821800,13.01611700,-8.37210100,-39.14351817,
C4: Min (node 793) → C1: Min (node 2804) in NEF (0.99999962),1.50868270,1.79026840,0.28158570,18.66434208,28.84119800,33.58396800,4.74277000,16.44442786,
H1: Min (node 4626) → H5: Min (node 4667) in NEF (1.00000000),0.93910533,0.93725702,-0.00184831,-0.19681605,48.24948800,48.00074700,-0.24874100,-0.51553086,
H2: Min (node 2920) → H6: Min (node 1028) in NEF (0.99999929),1.01115370,0.94851679,-0.06263691,-6.19459831,52.36774000,47.82446300,-4.54327700,-8.67571715,
H3: Min (node 4280) → H4: Min (node 1877) in NEF (0.99999884),0.88048678,0.94551411,0.06502733,7.38538403,43.52506700,47.80125100,4.27618400,9.82464657,
H4: Min (node 4280) → H4: Min (node 1877) in NEF (0.99999884),0.88048678,0.94551411,0.06502733,7.38538403,43.52506700,47.80125100,4.27618400,9.82464657,
H5: Min (node 4626) → H5: Min (node 4667) in NEF (1.00000000),0.93910533,0.93725702,-0.00184831,-0.19681605,48.24948800,48.00074700,-0.24874100,-0.51553086,
H6: Min (node 2920) → H6: Min (node 1028) in NEF (0.99999929),1.01115370,0.94851679,-0.06263691,-6.19459831,52.36774000,47.82446300,-4.54327700,-8.67571715,
Total,29.76387342,29.76634444,0.00247102,0.00830208,652.28105800,650.31835000,-1.96270800,-0.30089913,
Max basin decomposition according to INS: Kinetic Energy Density SCF
C1: Max (node 6092) → C1: Max (node 6148) in NEF (0.99999602),2.50825090,2.37808240,-0.13016850,-5.18961241,39.67142100,36.48029300,-3.19112800,-8.04389639,
C1: Max (node 6114) → C1: Max (node 6172) in NEF (0.99999954),1.72356580,1.85456330,0.13099750,7.60037708,28.47755700,30.57130900,2.09375200,7.35228798,
